"StopID,C,254","Stop_name,C,254","CleverID,N,19,11","Direction,C,254","Timepoint,C,254","Routes_ser,C,254","Routes_cou,N,19,11","Latitude,N,19,11","Longitude,N,19,11","Mode,C,254","Shelter,C,254","Stop_type,C,254","On_avwk_FY,N,19,11","Off_avwk_F,N,19,11","On_avwk__1,C,254","Off_avwk_1,C,254","AvgWkdy_De,N,19,11"
X70002,BOGGS STATION,99917,Outbound,N,"BLLB, BLSV",2,40.416419,-80.010261,Light Rail,PAAC,Light Rail Station,2,28,2,28,0
X70003,DENISE STATION,99916,Inbound,N,"BLLB, BLSV",2,40.398364,-79.998536,Light Rail,PAAC,Light Rail Station,89,8,89,8,0
X70004,DENISE STATION,99915,Outbound,N,"BLLB, BLSV",2,40.398276,-79.998678,Light Rail,PAAC,Light Rail Station,12,68,12,68,0
X70005,SOUTH BANK STATION,99914,Inbound,07142,"BLLB, BLSV",2,40.392713,-79.998087,Light Rail,PAAC,Light Rail Station,71,28,71,28,0
X70006,SOUTH BANK STATION,99913,Outbound,07150,"BLLB, BLSV",2,40.392702,-79.99822,Light Rail,PAAC,Light Rail Station,26,70,26,70,0
X70007,MCNEILLY STATION,99912,Inbound,N,"BLLB, BLSV",2,40.37799,-80.004197,Light Rail,PAAC,Light Rail Station,94,10,94,10,0
X70008,MCNEILLY STATION,99911,Outbound,N,"BLLB, BLSV",2,40.378051,-80.004338,Light Rail,PAAC,Light Rail Station,8,89,8,89,0
X70009,KILLARNEY,99910,Inbound,N,"BLLB, BLSV",2,40.374028,-80.007532,Light Rail,PAAC,Light Rail Station,163,9,163,9,0
X70010,KILLARNEY STATION,99909,Outbound,N,"BLLB, BLSV",2,40.374098,-80.007656,Light Rail,PAAC,Light Rail Station,6,140,6,140,0
X70011,MEMORIAL HALL,99908,Inbound,07146,"BLLB, BLSV",2,40.366387,-80.016041,Light Rail,PAAC,Light Rail Station,769,25,769,25,0
X70012,MEMORIAL HALL STATION,99907,Outbound,07152,"BLLB, BLSV",2,40.366509,-80.016123,Light Rail,PAAC,Light Rail Station,13,749,13,749,0
X70013,WILLOW STATION,99906,Inbound,07147,"BLLB, BLSV",2,40.365524,-80.02597,Light Rail,PAAC,Light Rail Station,240,77,240,77,0
X70014,WILLOW STATION,99905,Outbound,07153,"BLLB, BLSV",2,40.365554,-80.02603,Light Rail,PAAC,Light Rail Station,75,332,75,332,0
X70017,BON AIR STATION,99904,Inbound,N,"BLLB, BLSV",2,40.409018,-80.003438,Light Rail,PAAC,Light Rail Station,61,5,61,5,0
X70018,BON AIR STATION,99903,Outbound,N,"BLLB, BLSV",2,40.408938,-80.003586,Light Rail,PAAC,Light Rail Station,1,60,1,60,0
X70025,OVERBROOK JUNCTION,99902,Inbound,22238,RED,1,40.365799,-80.027025,Light Rail,PAAC,Light Rail Station,113,1,113,1,0
X70026,OVERBROOK JUNCTION,99901,Both,01401,RED,1,40.365736,-80.027147,Light Rail,PAAC,Light Rail Station,2,116,2,116,0
